# x  u(x)  d(x)  ubar(x)  dbar(x)
1.2669448848e-02 3.3240072389e+01 2.8997766526e+01 1.8708526658e+01 2.0360927424e+01
1.3061185988e-02 3.2363982599e+01 2.8205305210e+01 1.8018217188e+01 1.9627758069e+01
1.3465035572e-02 3.1515278506e+01 2.7437162706e+01 1.7352958535e+01 1.8920023042e+01
1.3881372115e-02 3.0693033039e+01 2.6692338433e+01 1.6711776302e+01 1.8236747444e+01
1.4310581711e-02 2.9896232732e+01 2.5970470517e+01 1.6093922474e+01 1.7577244918e+01
1.4753062392e-02 2.9123943913e+01 2.5270925733e+01 1.5498626725e+01 1.6940799277e+01
1.5209224499e-02 2.8375337138e+01 2.4592725257e+01 1.4925041462e+01 1.6326582868e+01
1.5679491058e-02 2.7649611328e+01 2.3934943516e+01 1.4372352179e+01 1.5733799306e+01
1.6164298176e-02 2.6945992842e+01 2.3296705252e+01 1.3839776131e+01 1.5161682229e+01
1.6664095446e-02 2.6263734582e+01 2.2677182749e+01 1.3326561056e+01 1.4609494116e+01
1.7179346360e-02 2.5602115310e+01 2.2075593841e+01 1.2831984417e+01 1.4076525447e+01
1.7710528742e-02 2.4960629810e+01 2.1491925966e+01 1.2355843162e+01 1.3562418279e+01
1.8258135190e-02 2.4338596135e+01 2.0925864017e+01 1.1897584033e+01 1.3066610993e+01
1.8822673534e-02 2.3735124764e+01 2.0376389898e+01 1.1456131675e+01 1.2588210695e+01
1.9404667305e-02 2.3149376415e+01 1.9842557755e+01 1.1030484232e+01 1.2126376933e+01
2.0004656221e-02 2.2580559240e+01 1.9323489375e+01 1.0619708782e+01 1.1680318668e+01
2.0623196689e-02 2.2027926166e+01 1.8818369849e+01 1.0222937038e+01 1.1249291399e+01
2.1260862321e-02 2.1490774488e+01 1.8326453420e+01 9.8393617510e+00 1.0832592151e+01
2.1918244462e-02 2.0968629847e+01 1.7847727619e+01 9.4684111143e+00 1.0429535191e+01
2.2595952743e-02 2.0461150160e+01 1.7382087315e+01 9.1099767698e+00 1.0039885603e+01
2.3294615647e-02 1.9967948834e+01 1.6929085256e+01 8.7639921696e+00 9.6635450654e+00
2.4014881084e-02 1.9488645465e+01 1.6488294052e+01 8.4303632661e+00 9.3003894236e+00
2.4757417004e-02 1.9022866022e+01 1.6059305184e+01 8.1089711198e+00 8.9502711950e+00
2.5522912003e-02 1.8570243001e+01 1.5641728060e+01 7.7996743397e+00 8.6130219177e+00
2.6312075974e-02 1.8130425008e+01 1.5235258209e+01 7.5022239475e+00 8.2883449158e+00
2.7125640757e-02 1.7703052747e+01 1.4839922461e+01 7.2157974135e+00 7.9752935072e+00
2.7964360821e-02 1.7287620891e+01 1.4455265715e+01 6.9399547866e+00 7.6734965394e+00
2.8829013962e-02 1.6883631267e+01 1.4080772595e+01 6.6743650297e+00 7.3827126859e+00
2.9720402027e-02 1.6490612470e+01 1.3715962249e+01 6.4187045360e+00 7.1026959065e+00
3.0639351655e-02 1.6108118403e+01 1.3360386162e+01 6.1726571135e+00 6.8331963530e+00
3.1586715044e-02 1.5735731177e+01 1.3013630077e+01 5.9359192585e+00 6.5739623697e+00
3.2563370744e-02 1.5373659765e+01 1.2675908041e+01 5.7088736860e+00 6.3248397610e+00
