x	F1_NLO_TMC_only	F1_NLO_TMC_only_alternative	F1_NLO_TMC_HT_prelim	F2_NLO_TMC_only	F2_NLO_TMC_HT	F1_LO	F2_LO
7.495538e-01	9.432169e-02	6.016111e-02	8.522643e-02	5.403476e-02	7.654763e-02	1.973699e-02	2.958786e-02
7.500000e-01	9.411140e-02	6.000774e-02	8.507977e-02	5.389864e-02	7.641822e-02	1.962444e-02	2.943667e-02
7.554655e-01	9.156422e-02	5.815523e-02	8.330021e-02	5.225246e-02	7.484522e-02	1.828500e-02	2.762739e-02
7.600000e-01	8.949200e-02	5.665510e-02	8.184814e-02	5.091662e-02	7.355791e-02	1.722727e-02	2.618544e-02
7.614249e-01	8.884877e-02	5.619070e-02	8.139664e-02	5.050257e-02	7.315693e-02	1.690462e-02	2.574321e-02
7.674320e-01	8.618033e-02	5.427034e-02	7.951976e-02	4.878783e-02	7.148650e-02	1.559125e-02	2.393048e-02
7.700000e-01	8.506098e-02	5.346777e-02	7.873058e-02	4.806997e-02	7.078239e-02	1.505058e-02	2.317789e-02
7.734867e-01	8.355941e-02	5.239413e-02	7.766962e-02	4.710860e-02	6.983429e-02	1.433459e-02	2.217520e-02
7.795890e-01	8.097567e-02	5.055534e-02	7.583627e-02	4.545956e-02	6.819228e-02	1.313585e-02	2.048113e-02
7.800000e-01	8.080375e-02	5.043337e-02	7.571393e-02	4.535007e-02	6.808254e-02	1.305781e-02	2.037018e-02
7.857391e-01	7.843105e-02	4.875487e-02	7.402092e-02	4.384183e-02	6.656182e-02	1.200471e-02	1.886515e-02
7.900000e-01	7.670345e-02	4.753842e-02	7.278268e-02	4.274717e-02	6.544714e-02	1.126653e-02	1.780111e-02
7.919368e-01	7.592783e-02	4.699386e-02	7.222520e-02	4.225669e-02	6.494461e-02	1.094300e-02	1.733233e-02
7.981820e-01	7.346873e-02	4.527364e-02	7.045123e-02	4.070557e-02	6.334275e-02	9.946202e-03	1.587777e-02
8.000000e-01	7.276523e-02	4.478328e-02	6.994194e-02	4.026291e-02	6.288209e-02	9.668056e-03	1.546889e-02
8.044747e-01	7.105761e-02	4.359625e-02	6.870234e-02	3.919047e-02	6.175936e-02	9.004284e-03	1.448743e-02
8.100000e-01	6.899450e-02	4.216839e-02	6.719772e-02	3.789881e-02	6.039392e-02	8.225652e-03	1.332556e-02
8.108149e-01	6.869409e-02	4.196108e-02	6.697789e-02	3.771115e-02	6.019420e-02	8.114670e-03	1.315899e-02
8.172024e-01	6.637185e-02	4.036395e-02	6.527147e-02	3.626438e-02	5.864216e-02	7.278861e-03	1.189661e-02
8.200000e-01	6.537329e-02	3.968009e-02	6.453383e-02	3.564437e-02	5.797032e-02	6.931572e-03	1.136778e-02
8.236370e-01	6.409215e-02	3.880529e-02	6.358394e-02	3.485077e-02	5.710431e-02	6.496889e-03	1.070215e-02
8.300000e-01	6.189678e-02	3.731297e-02	6.194661e-02	3.349585e-02	5.560946e-02	5.781124e-03	9.596667e-03
8.301186e-01	6.185641e-02	3.728561e-02	6.191639e-02	3.347099e-02	5.558184e-02	5.768311e-03	9.576765e-03
8.366471e-01	5.966627e-02	3.580555e-02	6.027021e-02	3.212580e-02	5.407621e-02	5.092486e-03	8.521235e-03
8.400000e-01	5.856603e-02	3.506522e-02	5.943843e-02	3.145242e-02	5.331444e-02	4.767394e-03	8.009222e-03
8.432222e-01	5.752424e-02	3.436622e-02	5.864774e-02	3.081634e-02	5.258968e-02	4.468825e-03	7.536408e-03
8.498436e-01	5.542917e-02	3.296656e-02	5.704776e-02	2.954191e-02	5.112150e-02	3.898881e-03	6.626876e-03
8.500000e-01	5.538040e-02	3.293407e-02	5.701034e-02	2.951232e-02	5.108714e-02	3.886144e-03	6.606444e-03
8.565112e-01	5.337809e-02	3.160442e-02	5.546711e-02	2.830088e-02	4.966926e-02	3.383130e-03	5.795415e-03
8.600000e-01	5.232801e-02	3.091022e-02	5.465212e-02	2.766815e-02	4.891984e-02	3.131848e-03	5.386778e-03
8.632246e-01	5.137153e-02	3.027978e-02	5.390625e-02	2.709340e-02	4.823362e-02	2.908577e-03	5.021477e-03
8.699835e-01	4.941008e-02	2.899260e-02	5.236572e-02	2.591958e-02	4.681530e-02	2.472461e-03	4.302001e-03
8.700000e-01	4.940536e-02	2.898951e-02	5.236199e-02	2.591676e-02	4.681187e-02	2.471456e-03	4.300333e-03
8.767876e-01	4.749445e-02	2.774292e-02	5.084627e-02	2.477959e-02	4.541519e-02	2.083658e-03	3.653864e-03
8.800000e-01	4.661057e-02	2.716880e-02	5.014002e-02	2.425577e-02	4.476403e-02	1.916604e-03	3.373222e-03
8.836365e-01	4.562571e-02	2.653097e-02	4.934910e-02	2.367376e-02	4.403453e-02	1.739044e-03	3.073363e-03
