x	F1_NLO_TMC_only	F1_NLO_TMC_only_alternative	F1_NLO_TMC_HT_prelim	F2_NLO_TMC_only	F2_NLO_TMC_HT	F1_LO	F2_LO
6.600000e-01	1.805969e-01	1.163485e-01	1.478410e-01	9.564982e-02	1.215397e-01	5.688847e-02	7.509278e-02
6.614593e-01	1.795864e-01	1.155630e-01	1.472353e-01	9.501935e-02	1.210613e-01	5.612229e-02	7.424486e-02
6.675305e-01	1.754185e-01	1.123374e-01	1.447388e-01	9.242415e-02	1.190819e-01	5.297401e-02	7.072301e-02
6.700000e-01	1.737422e-01	1.110462e-01	1.437357e-01	9.138245e-02	1.182833e-01	5.174171e-02	6.933389e-02
6.736688e-01	1.712737e-01	1.091511e-01	1.422598e-01	8.985049e-02	1.171047e-01	4.998751e-02	6.735059e-02
6.798749e-01	1.671594e-01	1.060088e-01	1.398031e-01	8.730260e-02	1.151336e-01	4.715160e-02	6.411439e-02
6.800000e-01	1.670773e-01	1.059463e-01	1.397541e-01	8.725180e-02	1.150942e-01	4.709518e-02	6.404944e-02
6.861492e-01	1.630850e-01	1.029162e-01	1.373751e-01	8.478549e-02	1.131738e-01	4.433174e-02	6.083631e-02
6.900000e-01	1.606336e-01	1.010639e-01	1.359181e-01	8.327311e-02	1.119917e-01	4.261272e-02	5.880556e-02
6.924925e-01	1.590641e-01	9.988157e-02	1.349859e-01	8.230603e-02	1.112333e-01	4.150699e-02	5.748646e-02
6.989054e-01	1.550751e-01	9.689117e-02	1.326162e-01	7.985462e-02	1.092980e-01	3.873552e-02	5.414487e-02
7.000000e-01	1.544010e-01	9.638792e-02	1.322155e-01	7.944134e-02	1.089698e-01	3.827937e-02	5.359111e-02
7.053883e-01	1.511124e-01	9.394144e-02	1.302597e-01	7.742927e-02	1.073638e-01	3.612639e-02	5.096625e-02
7.100000e-01	1.483388e-01	9.188899e-02	1.286088e-01	7.573748e-02	1.060030e-01	3.440102e-02	4.884944e-02
7.119420e-01	1.471825e-01	9.103631e-02	1.279203e-01	7.503361e-02	1.054340e-01	3.370478e-02	4.799180e-02
