# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.686246 7.41396988e-05 7.27399678e-05 1.39973103e-06 1.66011158e-06 2.28225504e-02 6.84676511e-03
1.690315 7.39980941e-05 7.25752404e-05 1.42285372e-06 1.68853139e-06 2.32659428e-02 6.97978283e-03
1.694384 7.47455848e-05 7.33011506e-05 1.44443413e-06 1.71515827e-06 2.33987905e-02 7.01963716e-03
1.698453 7.59979247e-05 7.45328640e-05 1.46506063e-06 1.74068832e-06 2.33546415e-02 7.00639246e-03
1.702521 7.72370220e-05 7.57515105e-05 1.48551147e-06 1.76604506e-06 2.33136613e-02 6.99409838e-03
1.706590 7.83122254e-05 7.68063480e-05 1.50587738e-06 1.79133631e-06 2.33227637e-02 6.99682912e-03
1.710659 7.92933991e-05 7.77676550e-05 1.52574411e-06 1.81606914e-06 2.33524997e-02 7.00574990e-03
1.714728 8.01533358e-05 7.86083927e-05 1.54494307e-06 1.84004197e-06 2.34077037e-02 7.02231112e-03
1.718797 8.08988886e-05 7.93356266e-05 1.56326195e-06 1.86300061e-06 2.34825222e-02 7.04475666e-03
1.722865 8.15354200e-05 7.99549573e-05 1.58046274e-06 1.88465962e-06 2.35715168e-02 7.07145503e-03
1.726934 8.20692653e-05 8.04726945e-05 1.59657079e-06 1.90504703e-06 2.36732104e-02 7.10196311e-03
1.731003 8.25107508e-05 8.08988570e-05 1.61189377e-06 1.92452803e-06 2.37893106e-02 7.13679317e-03
1.735072 8.28694345e-05 8.12429343e-05 1.62650027e-06 1.94318309e-06 2.39181795e-02 7.17545386e-03
1.739140 8.31589553e-05 8.15187655e-05 1.64018981e-06 1.96077115e-06 2.40530035e-02 7.21590105e-03
1.743209 8.33927998e-05 8.17400024e-05 1.65279736e-06 1.97709297e-06 2.41875815e-02 7.25627444e-03
1.747278 8.35806863e-05 8.19163809e-05 1.66430547e-06 1.99212545e-06 2.43190120e-02 7.29570359e-03
1.751347 8.37310655e-05 8.20562817e-05 1.67478386e-06 2.00594976e-06 2.44460232e-02 7.33380695e-03
1.755415 8.38523782e-05 8.21681476e-05 1.68423068e-06 2.01856154e-06 2.45662292e-02 7.36986875e-03
1.759484 8.39511477e-05 8.22585367e-05 1.69261107e-06 2.02991679e-06 2.46772781e-02 7.40318344e-03
1.763553 8.40344440e-05 8.23345474e-05 1.69989658e-06 2.03997902e-06 2.47767077e-02 7.43301232e-03
1.767622 8.41082016e-05 8.24021974e-05 1.70600427e-06 2.04864625e-06 2.48615488e-02 7.45846464e-03
1.771691 8.41787345e-05 8.24679703e-05 1.71076418e-06 2.05571162e-06 2.49273944e-02 7.47821833e-03
1.775759 8.42510410e-05 8.25368885e-05 1.71415249e-06 2.06114342e-06 2.49723905e-02 7.49171716e-03
1.779828 8.43277282e-05 8.26114322e-05 1.71629599e-06 2.06509104e-06 2.49976424e-02 7.49929271e-03
1.783897 8.44123516e-05 8.26950815e-05 1.71727011e-06 2.06764240e-06 2.50032089e-02 7.50096268e-03
1.787966 8.45091217e-05 8.27919513e-05 1.71717046e-06 2.06890997e-06 2.49892645e-02 7.49677934e-03
1.792034 8.46227205e-05 8.29066509e-05 1.71606957e-06 2.06897861e-06 2.49555203e-02 7.48665609e-03
1.796103 8.47572140e-05 8.30431188e-05 1.71409518e-06 2.06800006e-06 2.49027263e-02 7.47081788e-03
1.800172 8.49162125e-05 8.32047739e-05 1.71143863e-06 2.06620320e-06 2.48327482e-02 7.44982446e-03
1.804241 8.51035780e-05 8.33953223e-05 1.70825574e-06 2.06377460e-06 2.47468868e-02 7.42406605e-03
1.808309 8.53231394e-05 8.36184493e-05 1.70469006e-06 2.06088654e-06 2.46463137e-02 7.39389412e-03
1.812378 8.55794424e-05 8.38785739e-05 1.70086855e-06 2.05769161e-06 2.45317906e-02 7.35953719e-03
1.816447 8.58751113e-05 8.41781586e-05 1.69695272e-06 2.05438476e-06 2.44051996e-02 7.32155987e-03
1.820516 8.62112670e-05 8.45180980e-05 1.69316905e-06 2.05124007e-06 2.42698324e-02 7.28094971e-03
1.824585 8.65897095e-05 8.49000409e-05 1.68966861e-06 2.04844106e-06 2.41276805e-02 7.23830414e-03
1.828653 8.70121832e-05 8.53257157e-05 1.68646750e-06 2.04600797e-06 2.39787965e-02 7.19363895e-03
1.832722 8.74812300e-05 8.57976732e-05 1.68355684e-06 2.04393081e-06 2.38226835e-02 7.14680505e-03
1.836791 8.79961391e-05 8.63151285e-05 1.68101055e-06 2.04230015e-06 2.36609757e-02 7.09829270e-03
1.840860 8.85540772e-05 8.68750908e-05 1.67898644e-06 2.04130883e-06 2.34970555e-02 7.04911666e-03
1.844928 8.91532610e-05 8.74757218e-05 1.67753917e-06 2.04102475e-06 2.33324711e-02 6.99974133e-03
1.848997 8.97918994e-05 8.81153093e-05 1.67659014e-06 2.04135377e-06 2.31668456e-02 6.95005369e-03
1.853066 9.04683747e-05 8.87923104e-05 1.67606429e-06 2.04220580e-06 2.29998047e-02 6.89994142e-03
1.857135 9.11795827e-05 8.95036714e-05 1.67591137e-06 2.04352075e-06 2.28316975e-02 6.84950925e-03
1.861203 9.19220356e-05 9.02459555e-05 1.67608014e-06 2.04523716e-06 2.26629232e-02 6.79887697e-03
1.865272 9.26918616e-05 9.10153363e-05 1.67652534e-06 2.04730070e-06 2.24940190e-02 6.74820569e-03
1.869341 9.34838882e-05 9.18066666e-05 1.67722160e-06 2.04968117e-06 2.23260603e-02 6.69781809e-03
1.873410 9.42929379e-05 9.26147928e-05 1.67814509e-06 2.05235023e-06 2.21600693e-02 6.64802079e-03
1.877479 9.51155868e-05 9.34363954e-05 1.67919146e-06 2.05518083e-06 2.19955064e-02 6.59865191e-03
1.881547 9.59490524e-05 9.42688665e-05 1.68018594e-06 2.05795934e-06 2.18307424e-02 6.54922273e-03
1.885616 9.67899807e-05 9.51089179e-05 1.68106278e-06 2.06060511e-06 2.16657403e-02 6.49972208e-03
1.889685 9.76346852e-05 9.59528471e-05 1.68183815e-06 2.06313774e-06 2.15015792e-02 6.45047376e-03
1.893754 9.84795468e-05 9.67970373e-05 1.68250949e-06 2.06555386e-06 2.13390194e-02 6.40170582e-03
1.897822 9.93221180e-05 9.76390544e-05 1.68306363e-06 2.06783708e-06 2.11783809e-02 6.35351426e-03
1.901891 1.00159519e-04 9.84760391e-05 1.68348015e-06 2.06996204e-06 2.10199563e-02 6.30598690e-03
1.905960 1.00990217e-04 9.93064632e-05 1.68375407e-06 2.07192229e-06 2.08639219e-02 6.25917656e-03
1.910029 1.01813628e-04 1.00129740e-04 1.68388755e-06 2.07372015e-06 2.07103318e-02 6.21309955e-03
1.914097 1.02628989e-04 1.00945106e-04 1.68388223e-06 2.07535731e-06 2.05592662e-02 6.16777985e-03
1.918166 1.03436583e-04 1.01752830e-04 1.68375351e-06 2.07685242e-06 2.04107583e-02 6.12322750e-03
1.922235 1.04236465e-04 1.02552957e-04 1.68350803e-06 2.07821340e-06 2.02647827e-02 6.07943481e-03
1.926304 1.05029553e-04 1.03346376e-04 1.68317635e-06 2.07947772e-06 2.01214381e-02 6.03643143e-03
1.930372 1.05817293e-04 1.04134496e-04 1.68279669e-06 2.08069243e-06 1.99808182e-02 5.99424545e-03
1.934441 1.06600984e-04 1.04918575e-04 1.68240858e-06 2.08190639e-06 1.98430676e-02 5.95292029e-03
1.938510 1.07382255e-04 1.05700179e-04 1.68207622e-06 2.08319916e-06 1.97085680e-02 5.91257040e-03
1.942579 1.08162851e-04 1.06480929e-04 1.68192262e-06 2.08472342e-06 1.95783738e-02 5.87351214e-03
1.946648 1.08944321e-04 1.07262413e-04 1.68190786e-06 2.08643027e-06 1.94516439e-02 5.83549318e-03
1.950716 1.09727189e-04 1.08045261e-04 1.68192770e-06 2.08819083e-06 1.93270006e-02 5.79810017e-03
1.954785 1.10511029e-04 1.08829110e-04 1.68191866e-06 2.08992636e-06 1.92037439e-02 5.76112317e-03
1.958854 1.11296328e-04 1.09614510e-04 1.68181755e-06 2.09155829e-06 1.90810348e-02 5.72431045e-03
1.962923 1.12083881e-04 1.10402320e-04 1.68156147e-06 2.09300811e-06 1.89580084e-02 5.68740253e-03
1.966991 1.12874230e-04 1.11193142e-04 1.68108775e-06 2.09419733e-06 1.88338713e-02 5.65016140e-03
