# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.482808 4.16467278e-05 3.91725574e-05 2.47417042e-06 2.85969057e-06 7.30023968e-02 2.19007190e-02
1.486877 4.54966208e-05 4.29426297e-05 2.55399104e-06 2.95327950e-06 6.87726747e-02 2.06318024e-02
1.490946 4.87628379e-05 4.61215692e-05 2.64126867e-06 3.05558642e-06 6.62507038e-02 1.98752111e-02
1.495014 5.07230643e-05 4.79908731e-05 2.73219116e-06 3.16221178e-06 6.58919410e-02 1.97675823e-02
1.499083 5.21396835e-05 4.93148574e-05 2.82482606e-06 3.27092460e-06 6.63273662e-02 1.98982099e-02
1.503152 5.33746689e-05 5.04579620e-05 2.91670699e-06 3.37887135e-06 6.69640869e-02 2.00892261e-02
1.507221 5.44605342e-05 5.14563343e-05 3.00419995e-06 3.48183995e-06 6.76659152e-02 2.02997746e-02
1.511289 5.52282023e-05 5.21460202e-05 3.08218211e-06 3.57388416e-06 6.85360866e-02 2.05608260e-02
1.515358 5.56323943e-05 5.24858717e-05 3.14652261e-06 3.65019726e-06 6.95462825e-02 2.08638847e-02
1.519427 5.57237858e-05 5.25265268e-05 3.19725901e-06 3.71080131e-06 7.06462342e-02 2.11938703e-02
1.523496 5.55158627e-05 5.22832181e-05 3.23264454e-06 3.75364628e-06 7.17944767e-02 2.15383430e-02
1.527564 5.50609894e-05 5.18065426e-05 3.25444679e-06 3.78076072e-06 7.29784411e-02 2.18935323e-02
1.531633 5.44296981e-05 5.11638930e-05 3.26580512e-06 3.79577118e-06 7.41884746e-02 2.22565424e-02
1.535702 5.36786608e-05 5.04095875e-05 3.26907326e-06 3.80139743e-06 7.54102070e-02 2.26230621e-02
1.539771 5.28559943e-05 4.95885208e-05 3.26747352e-06 3.80137485e-06 7.66583634e-02 2.29975090e-02
1.543840 5.20145308e-05 4.87505154e-05 3.26401550e-06 3.79919831e-06 7.79314492e-02 2.33794348e-02
1.547908 5.11831361e-05 4.79227886e-05 3.26034748e-06 3.79678420e-06 7.92271132e-02 2.37681340e-02
1.551977 5.03886833e-05 4.71308099e-05 3.25787338e-06 3.79576789e-06 8.05368695e-02 2.41610609e-02
1.556046 4.96559178e-05 4.63976384e-05 3.25827940e-06 3.79811703e-06 8.18601368e-02 2.45580410e-02
1.560115 4.89925282e-05 4.57291176e-05 3.26341051e-06 3.80598840e-06 8.32289928e-02 2.49686979e-02
1.564183 4.84132467e-05 4.51382075e-05 3.27503917e-06 3.82145853e-06 8.46612823e-02 2.53983847e-02
1.568252 4.79251745e-05 4.46318512e-05 3.29332324e-06 3.84472322e-06 8.61430372e-02 2.58429112e-02
1.572321 4.75352098e-05 4.42169297e-05 3.31828006e-06 3.87581471e-06 8.76545417e-02 2.62963625e-02
1.576390 4.72506966e-05 4.39003787e-05 3.35031788e-06 3.91522221e-06 8.91842468e-02 2.67552740e-02
1.580458 4.70772774e-05 4.36871997e-05 3.39007768e-06 3.96370816e-06 9.07292797e-02 2.72187839e-02
1.584527 4.70215733e-05 4.35834871e-05 3.43808619e-06 4.02190305e-06 9.22804327e-02 2.76841298e-02
1.588596 4.70915442e-05 4.35970022e-05 3.49454196e-06 4.09005469e-06 9.38150442e-02 2.81445133e-02
1.592665 4.72953276e-05 4.37357770e-05 3.55955056e-06 4.16830268e-06 9.53064737e-02 2.85919421e-02
1.596734 4.76400874e-05 4.40060988e-05 3.63398860e-06 4.25769045e-06 9.67522812e-02 2.90256844e-02
1.600802 4.81314635e-05 4.44135614e-05 3.71790208e-06 4.35829007e-06 9.81297139e-02 2.94389142e-02
1.604871 4.87763283e-05 4.49634611e-05 3.81286720e-06 4.47196867e-06 9.94578388e-02 2.98373516e-02
1.608940 4.95860510e-05 4.56552443e-05 3.93080669e-06 4.61273900e-06 1.01034154e-01 3.03102463e-02
1.613009 5.05723569e-05 4.64890537e-05 4.08330318e-06 4.79424457e-06 1.03126310e-01 3.09378930e-02
1.617077 5.17356299e-05 4.74689468e-05 4.26668306e-06 5.01223644e-06 1.05589797e-01 3.16769390e-02
1.621146 5.30753135e-05 4.86129372e-05 4.46237631e-06 5.24494840e-06 1.07892028e-01 3.23676085e-02
1.625215 5.45842825e-05 4.99224090e-05 4.66187351e-06 5.48239894e-06 1.09818397e-01 3.29455192e-02
1.629284 5.62190497e-05 5.13498676e-05 4.86918206e-06 5.72931301e-06 1.11574056e-01 3.34722168e-02
1.633352 5.79451165e-05 5.28600836e-05 5.08503293e-06 5.98656864e-06 1.13253106e-01 3.39759317e-02
1.637421 5.97299112e-05 5.44222807e-05 5.30763053e-06 6.25206983e-06 1.14880702e-01 3.44642107e-02
1.641490 6.15406084e-05 5.60069001e-05 5.53370823e-06 6.52198234e-06 1.16449622e-01 3.49348866e-02
1.645559 6.33439017e-05 5.75827406e-05 5.76116114e-06 6.79383356e-06 1.17983852e-01 3.53951557e-02
1.649628 6.51047685e-05 5.91155626e-05 5.98920595e-06 7.06670473e-06 1.19540514e-01 3.58621542e-02
1.653696 6.67884576e-05 6.05719080e-05 6.21654955e-06 7.33907326e-06 1.21162986e-01 3.63488959e-02
1.657765 6.83691390e-05 6.19275872e-05 6.44155179e-06 7.60900315e-06 1.22869362e-01 3.68608087e-02
1.661834 6.98193398e-05 6.31574218e-05 6.66191800e-06 7.87378047e-06 1.24669124e-01 3.74007373e-02
1.665903 7.11186561e-05 6.42421667e-05 6.87648940e-06 8.13202831e-06 1.26583967e-01 3.79751901e-02
1.669971 7.22911666e-05 6.52057095e-05 7.08545712e-06 8.38396388e-06 1.28577144e-01 3.85731431e-02
1.674040 7.33309680e-05 6.60422020e-05 7.28876607e-06 8.62951319e-06 1.30666648e-01 3.91999945e-02
1.678109 7.40885567e-05 6.65988472e-05 7.48970949e-06 8.87256863e-06 1.33224057e-01 3.99672172e-02
1.682178 7.42449195e-05 6.65510395e-05 7.69388000e-06 9.11975702e-06 1.37034028e-01 4.11102084e-02
1.686246 7.39132148e-05 6.60115428e-05 7.90167205e-06 9.37155564e-06 1.41968438e-01 4.25905315e-02
1.690315 7.39646341e-05 6.58589438e-05 8.10569028e-06 9.61919857e-06 1.46057589e-01 4.38172768e-02
1.694384 7.48179670e-05 6.65150352e-05 8.30293177e-06 9.85911490e-06 1.48223855e-01 4.44671564e-02
1.698453 7.61270586e-05 6.76305351e-05 8.49652346e-06 1.00950083e-05 1.49267018e-01 4.47801053e-02
1.702521 7.74254360e-05 6.87346126e-05 8.69082336e-06 1.03320546e-05 1.50318074e-01 4.50954222e-02
1.706590 7.85768017e-05 6.96905123e-05 8.88628947e-06 1.05708029e-05 1.51682095e-01 4.55046286e-02
1.710659 7.96424160e-05 7.05620248e-05 9.08039120e-06 1.08082464e-05 1.53173699e-01 4.59521097e-02
1.714728 8.05966215e-05 7.13246339e-05 9.27198752e-06 1.10430258e-05 1.54827654e-01 4.64482963e-02
1.718797 8.14444015e-05 7.19847631e-05 9.45963845e-06 1.12734224e-05 1.56608453e-01 4.69825358e-02
1.722865 8.21892072e-05 7.25475021e-05 9.64170507e-06 1.14974758e-05 1.58482036e-01 4.75446107e-02
1.726934 8.28367018e-05 7.30185801e-05 9.81812169e-06 1.17150982e-05 1.60439961e-01 4.81319884e-02
1.731003 8.33976670e-05 7.34070883e-05 9.99057870e-06 1.19282977e-05 1.62495176e-01 4.87485528e-02
1.735072 8.38809680e-05 7.37216343e-05 1.01593338e-05 1.21373761e-05 1.64637914e-01 4.93913743e-02
1.739140 8.42977362e-05 7.39747712e-05 1.03229650e-05 1.23406277e-05 1.66822114e-01 5.00466343e-02
1.743209 8.46591194e-05 7.41788811e-05 1.04802383e-05 1.25365674e-05 1.69004537e-01 5.07013610e-02
1.747278 8.49736257e-05 7.43427920e-05 1.06308337e-05 1.27248000e-05 1.71163871e-01 5.13491612e-02
1.751347 8.52490930e-05 7.44741023e-05 1.07749907e-05 1.29055997e-05 1.73289765e-01 5.19869295e-02
1.755415 8.54929682e-05 7.45804670e-05 1.09125011e-05 1.30787044e-05 1.75363670e-01 5.26091010e-02
1.759484 8.57107752e-05 7.46678312e-05 1.10429440e-05 1.32435961e-05 1.77366824e-01 5.32100473e-02
1.763553 8.59085684e-05 7.47426313e-05 1.11659372e-05 1.33998020e-05 1.79279238e-01 5.37837714e-02
1.767622 8.60910608e-05 7.48103237e-05 1.12807371e-05 1.35464138e-05 1.81076798e-01 5.43230393e-02
1.771691 8.62628007e-05 7.48767898e-05 1.13860108e-05 1.36818125e-05 1.82724347e-01 5.48173042e-02
1.775759 8.64279656e-05 7.49465859e-05 1.14813797e-05 1.38055222e-05 1.84204817e-01 5.52614452e-02
1.779828 8.65894432e-05 7.50219612e-05 1.15674820e-05 1.39182888e-05 1.85522861e-01 5.56568582e-02
1.783897 8.67507089e-05 7.51060746e-05 1.16446343e-05 1.40204733e-05 1.86675624e-01 5.60026871e-02
1.787966 8.69159722e-05 7.52026629e-05 1.17133093e-05 1.41126248e-05 1.87661237e-01 5.62983711e-02
1.792034 8.70897559e-05 7.53159142e-05 1.17738417e-05 1.41951277e-05 1.88474478e-01 5.65423435e-02
1.796103 8.72763739e-05 7.54494097e-05 1.18269642e-05 1.42688475e-05 1.89118080e-01 5.67354239e-02
1.800172 8.74801365e-05 7.56062607e-05 1.18738758e-05 1.43352147e-05 1.89603540e-01 5.68810620e-02
1.804241 8.77054034e-05 7.57898422e-05 1.19155611e-05 1.43954045e-05 1.89938442e-01 5.69815326e-02
1.808309 8.79564589e-05 7.60035129e-05 1.19529460e-05 1.44505245e-05 1.90129692e-01 5.70389077e-02
1.812378 8.82381645e-05 7.62513011e-05 1.19868634e-05 1.45015724e-05 1.90181310e-01 5.70543931e-02
1.816447 8.85538717e-05 7.65354598e-05 1.20184119e-05 1.45498704e-05 1.90106265e-01 5.70318794e-02
1.820516 8.89059954e-05 7.68568189e-05 1.20491765e-05 1.45973338e-05 1.89928935e-01 5.69786806e-02
1.824585 8.92971310e-05 7.72168957e-05 1.20802354e-05 1.46452683e-05 1.89664038e-01 5.68992115e-02
1.828653 8.97289987e-05 7.76172820e-05 1.21117167e-05 1.46938313e-05 1.89311335e-01 5.67934005e-02
1.832722 9.02038909e-05 7.80603202e-05 1.21435707e-05 1.47429642e-05 1.88866305e-01 5.66598914e-02
1.836791 9.07216657e-05 7.85453202e-05 1.21763455e-05 1.47933351e-05 1.88341394e-01 5.65024181e-02
1.840860 9.12807927e-05 7.90695847e-05 1.22112080e-05 1.48463657e-05 1.87763295e-01 5.63289884e-02
1.844928 9.18800537e-05 7.96314648e-05 1.22485889e-05 1.49025868e-05 1.87144452e-01 5.61433355e-02
1.848997 9.25173726e-05 8.02294260e-05 1.22879466e-05 1.49613465e-05 1.86482034e-01 5.59446102e-02
